et,title,direction,qty,entry,exit_price,outcome,exit_s_from_release,pnl_points,pnl_usd,net_stressed_usd
2024-01-05 08:30:00,Non Farm Payrolls,long,1,1963.7,1961.7363,stopped_post,0.0,-1.963700000000017,-98.18500000000085,-120.68500000000085
2024-01-11 08:30:00,Inflation Rate MoM,long,1,1993.9,2001.8756,tp,1.0,7.975599999999986,398.7799999999993,376.2799999999993
2024-01-31 14:00:00,Fed Interest Rate Decision,long,1,1996.6,1994.6034,stopped_post,7.0,-1.996599999999944,-99.8299999999972,-122.3299999999972
2024-02-02 08:30:00,Non Farm Payrolls,long,1,1986.3,1984.3137,stopped_post,1.0,-1.9863000000000284,-99.31500000000142,-121.81500000000142
2024-02-13 08:30:00,Inflation Rate MoM,long,1,2051.7,2049.6483,stopped_pre,-123.0,-2.0516999999999825,-102.58499999999913,-125.08499999999913
2024-03-08 08:30:00,Non Farm Payrolls,long,1,2088.2,2086.1,stopped_pre,-177.0,-2.099999999999909,-104.99999999999545,-127.49999999999545
2024-03-12 08:30:00,Inflation Rate MoM,long,1,2097.8,2095.7022,stopped_post,1.0,-2.0978000000000065,-104.89000000000033,-127.39000000000033
2024-03-20 14:00:00,Fed Interest Rate Decision,long,1,2059.7,2057.6403,stopped_post,7.0,-2.0596999999997934,-102.98499999998967,-125.48499999998967
2024-04-05 08:30:00,Non Farm Payrolls,long,1,2080.9,2074.7,stopped_post,11.0,-6.200000000000273,-310.00000000001364,-332.50000000001364
2024-04-10 08:30:00,Inflation Rate MoM,long,1,2105.5,2103.3945,stopped_post,1.0,-2.10550000000012,-105.275000000006,-127.775000000006
2024-05-01 14:00:00,Fed Interest Rate Decision,long,1,1986.6,1984.6134,stopped_post,2.0,-1.986599999999953,-99.32999999999765,-121.82999999999765
2024-05-03 08:30:00,Non Farm Payrolls,long,1,2024.7,2022.6753,stopped_pre,-1.0,-2.024699999999939,-101.23499999999694,-123.73499999999694
2024-05-15 08:30:00,Inflation Rate MoM,long,1,2095.2,2103.5807999999997,tp,0.0,8.380799999999908,419.0399999999954,396.5399999999954
2024-06-07 08:30:00,Non Farm Payrolls,long,1,2050.5,2048.4495,stopped_post,1.0,-2.050499999999829,-102.52499999999145,-125.02499999999145
2024-06-12 08:30:00,Inflation Rate MoM,long,1,2035.0,2043.14,tp,1.0,8.1400000000001,407.000000000005,384.500000000005
2024-06-12 14:00:00,Fed Interest Rate Decision,long,1,2081.6,2079.5184,stopped_post,1.0,-2.0815999999999804,-104.07999999999902,-126.57999999999902
2024-07-05 08:30:00,Non Farm Payrolls,long,1,2049.1,2047.0509,stopped_post,1.0,-2.049099999999953,-102.45499999999765,-124.95499999999765
